Judy_Garland	157242	0.1891	0.9274
Ahsoka_Tano	156997	0.3703	0.8475
Talulah_Riley	156707	0.7212	0.8909
Mary_Steenburgen	156458	0.4877	0.8901
Lady_Louise_Windsor	156224	0.8316	0.8298
Tina_Louise	155625	0.3642	0.9053
Jamie_Bell	155311	0.6217	0.9294
Julie_Andrews	154116	0.3099	0.9377
World_War_II	153998	0.2353	0.9792
Will_Smith	153761	0.3444	0.9115
Ben_Affleck	153710	0.4102	0.9246
Colin_Jost	153234	0.4804	0.7922
Princess_Beatrice	152979	0.7779	0.9174
Olivia_Colman	152932	0.4033	0.8311
Jessica_Chastain	152528	0.307	0.8977
John_Spencer,_8th_Earl_Spencer	152502	0.7757	0.8718
Andy_Gibb	151899	0.2637	0.812
No_Time_to_Die	151603	0.4952	0.7619
Kris_Jenner	151456	0.5552	0.8571
Mackenzie_Davis	151456	0.3531	0.7679
Emily_Deschanel	149765	0.5562	0.9
Marvel_Cinematic_Universe	149395	0.3007	0.866
List_of_The_Masked_Singer_(American_TV_series)_episodes	149341	0.8661	0.5833
Rooney_Mara	149275	0.5595	0.9346
Carrie_Fisher	149172	0.2793	0.8699
Manchester_United_F.C.	149152	0.362	0.9628
Michelle_Williams_(actress)	148910	0.5474	0.9392
Johnny_Depp	148629	0.2132	0.9202
China	148343	0.3119	0.9527
Nick_Jonas	148330	0.5116	0.9167
Emily_Blunt	147881	0.3669	0.8454
Charlie_McDowell	147320	0.8438	0.6818
Cyberpunk_2077	146866	0.0446	0.2052
Ma_Rainey	146230	0.1076	0.6952
Suki_Waterhouse	146000	0.7309	0.8364
Tom_Fletcher	145845	0.5419	0.8511
Liza_Minnelli	145830	0.4773	0.948
Mary_Elizabeth_Winstead	145718	0.564	0.9339
Lisa_Marie_Presley	145495	0.6212	0.9146
Katie_Holmes	145022	0.3781	0.9057
Bryce_Dallas_Howard	144722	0.4438	0.8425
Michael_Jackson	144565	0.1941	0.9161
Bill_Clinton	144563	0.4009	0.9637
Boris_Johnson	144526	0.2421	0.9223
Mia_Goth	144134	0.6408	0.6429
Home_Alone_2:_Lost_in_New_York	143827	0.317	0.7042
Priyanka_Chopra	143526	0.3464	0.945
1988_United_States_presidential_election	143251	0.78	0.9634
1984_United_States_presidential_election	143197	0.6875	0.9602
UFC_257	143091	0.5335	0.7895
Connie_Nielsen	143053	0.5986	0.8765
2018_NFL_Draft	143038	0.4875	0.9714
2019_NFL_Draft	142944	0.4501	0.9656
Home_Alone	142943	0.1228	0.4968
Amber_Heard	142936	0.291	0.808
Nicola_Coughlan	142836	0.4778	0.4444
List_of_Marvel_Cinematic_Universe_films	142593	0.1803	0.7838
Lyndon_B._Johnson	142393	0.3717	0.9757
2020–21_UEFA_Europa_League	142241	0.4386	0.9224
Floyd_Mayweather_Jr.	142085	0.2	0.8517
Chapter_13:_The_Jedi	141593	0.7292	0.7333
Mark_Thatcher	141574	0.2665	0.6338
Chris_Hemsworth	141563	0.3332	0.7647
Ming-Na_Wen	141087	0.3267	0.8411
John_Travolta	140150	0.269	0.9244
Evan_Peters	139779	0.6088	0.9091
Stephen_Baldwin	139587	0.6895	0.9271
John_Krasinski	139538	0.4138	0.933
Fellatio	139429	0.6219	0.9003
The_Christmas_Chronicles_2	139425	0.3064	0.5079
Republican_Party_(United_States)	139279	0.3138	0.9824
Arnold_Schwarzenegger	138867	0.2429	0.9224
New_York_City	138804	0.2071	0.9592
Cristiano_Ronaldo	138300	0.1311	0.8774
Joaquin_Phoenix	138030	0.3877	0.945
Princess_Eugenie	137851	0.7465	0.8889
Alan_Rickman	137690	0.2011	0.8243
List_of_Star_Wars_Rebels_characters	137619	0.765	0.8925
Lily_James	137474	0.3703	0.8018
Sucheta_Dalal	137447	0.4432	0.4815
Tom_Hanks	137391	0.2591	0.9004
Succession_to_the_British_throne	137053	0.4146	0.936
Return_of_the_Jedi	136845	0.5492	0.9412
Zoë_Kravitz	136671	0.5318	0.9
The_Midnight_Sky	136638	0.0724	0.247
Edward_IV_of_England	136037	0.7202	0.9722
John_Major	135985	0.7072	0.9737
Soul_(2020_film)	135786	0.0638	0.413
Ma_Rainey's_Black_Bottom_(film)	135517	0.198	0.3909
Angelina_Jolie	135470	0.2629	0.8924
Music_to_Be_Murdered_By	135048	0.4913	0.7143
Albert,_Prince_Consort	135047	0.5575	0.9805
Alexandra_Breckenridge	134974	0.2712	0.9011
Transgender	134878	0.3397	0.9629
1980_United_States_presidential_election	134741	0.7445	0.9679
2020_Formula_2_Championship	134636	0.487	0.8351
List_of_Running_Man_episodes_(2020)	134464	0.3457	0.68
Alec_Douglas-Home	134415	0.8333	0.964
Avengers:_Endgame	134387	0.3592	0.8742
YouTube	134232	0.0811	0.9678
COVID-19_vaccine	134038	0.2154	0.7229
Liam_Hemsworth	133821	0.4596	0.8454
Liverpool_F.C.	133635	0.3813	0.9656
Kate_Beckinsale	133609	0.3996	0.8797
Brad_Pitt	133525	0.2664	0.8902
Frances_Shand_Kydd	133177	0.6713	0.7778
Leonardo_DiCaprio	132888	0.213	0.8768
Christopher_Plummer	132883	0.3448	0.9172
Zack_Snyder's_Justice_League	132732	0.5026	0.8188
Chadwick_Boseman	132365	0.1598	0.6622
Joe_Pesci	132159	0.3514	0.8034
Carol_Thatcher	132150	0.5143	0.7292
Henry_VI_of_England	132039	0.75	0.9719
Death_of_Diana,_Princess_of_Wales	131762	0.3566	0.9167
Severe_acute_respiratory_syndrome_coronavirus_2	131706	0.4582	0.9459
Rashida_Jones	131524	0.2978	0.8692
Rachel_McAdams	131164	0.3869	0.9122
Adjoa_Andoh	131093	0.6017	0.8438
James,_Viscount_Severn	131085	0.8708	0.8837
2020–21_Premier_League	131048	0.4961	0.8696
Soviet_Union	131021	0.3456	0.9681
The_Suicide_Squad_(film)	130996	0.5962	0.7986
Bobby_Fischer	130976	0.1758	0.8745
George_Harrison	130677	0.3708	0.9684
Carey_Mulligan	130673	0.4068	0.8939
Tobias_Menzies	130529	0.4921	0.8696
Robert_Kardashian	130486	0.5063	0.8966
Lily_Collins	130468	0.3321	0.7477
Al_Pacino	130406	0.3401	0.9511
DC_Extended_Universe	129503	0.4131	0.8013
Katee_Sackhoff	129456	0.3949	0.8276
Beverly_D'Angelo	129390	0.2976	0.8667
Rory_Culkin	129259	0.7436	0.9048
Alexander_Skarsgård	129099	0.552	0.8926
Richard_III_of_England	128751	0.56	0.9542
Caitlyn_Jenner	128581	0.332	0.8503
Ottoman_Empire	128505	0.4047	0.9814
Jennifer_Aniston	128285	0.2412	0.8832
Star_Wars_(film)	128060	0.4566	0.915
Dwight_D._Eisenhower	127952	0.4258	0.9774
Michael_McKean	127835	0.5903	0.9439
Keanu_Reeves	127803	0.1226	0.8142
2017_NFL_Draft	127797	0.4689	0.9574
Anne_Boleyn	127782	0.4102	0.9181
NXT_TakeOver:_WarGames_(2020)	127695	0.3749	0.4118
Instagram	127676	0.2097	0.9561
Amal_Clooney	127380	0.3774	0.8519
Gary_Oldman	127332	0.4333	0.9176
Paul_Bettany	127247	0.5032	0.9024
Keira_Knightley	127083	0.2797	0.8171
Theodore_Roosevelt	127075	0.341	0.9765
Red_Notice_(film)	126957	0.8085	0.7407
Kristen_Stewart	126879	0.2123	0.7982
Anthony_Joshua	126803	0.1703	0.625
Sexual_intercourse	126682	0.3865	0.847
Giancarlo_Esposito	126635	0.3175	0.9028
John_Belushi	126489	0.3724	0.9352
Sacha_Baron_Cohen	126418	0.321	0.9322
1976_United_States_presidential_election	126321	0.7766	0.9552
Citizen_Kane	125818	0.2601	0.814
Jacqueline_Kennedy_Onassis	125794	0.2812	0.9363
Rachel_Weisz	125710	0.4693	0.9583
List_of_supporting_Harry_Potter_characters	125525	0.8349	0.9474
Sean_Penn	125290	0.5056	0.9477
List_of_highest-grossing_films	125062	0.3154	0.9362
Kim_Basinger	124558	0.5512	0.9363
Ralph_Fiennes	124525	0.5049	0.9569
1972_United_States_presidential_election	124517	0.7637	0.9706
William_Randolph_Hearst	124349	0.4612	0.9231
Jordan_Cameron	124108	0.6888	0.8077
Family_of_Donald_Trump	124097	0.5339	0.8983
Frank_Sinatra	124068	0.2449	0.9557
